slice,condition,n,judge_accuracy,exact_accuracy,evidence_recall,mean_tool_steps,mean_observed_matches
rows_1_16,DCI,16,0,0,0,2.8125,76.5625
rows_1_16,RARG,16,0,0,0,1.5625,44.0625
rows_1_16,RARG+,16,0,0,0.125,1.1875,36.125
rows_1_16,RARG++,16,0,0,0.125,1.375,39.9375
rows_17_32,DCI,16,0.0625,0.0625,0.0625,3.625,100.4375
rows_17_32,RARG,16,0.125,0.0625,0.3125,2.125,58
rows_17_32,RARG+,16,0.25,0.0625,0.25,1.8125,55.875
rows_17_32,RARG++,16,0.3125,0.125,0.25,1.6875,50
pooled,DCI,32,0.03125,0.03125,0.03125,3.21875,88.5
pooled,RARG,32,0.0625,0.03125,0.15625,1.84375,51.03125
pooled,RARG+,32,0.125,0.03125,0.1875,1.5,46
pooled,RARG++,32,0.15625,0.0625,0.1875,1.53125,44.96875
